"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
1510330610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very infertile","THYMUS PULEGIOIDES","THYMUS","LAMIACEAE","Mature leaf P concentration (mg/g)","1-2","THYMUS PULEGIOIDES","THYMUS","LAMIACEAE","Mature leaf N concentration (mg/g)","10-20","THYMUS PULEGIOIDES","THYMUS","LAMIACEAE","THYMUS PULEGIOIDES","thymus","LAMIACEAE"
1510340010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LYCOPUS EUROPAEUS","LYCOPUS","LAMIACEAE","Soil nutrients","fertile","LYCOPUS EUROPAEUS","LYCOPUS","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LYCOPUS EUROPAEUS","lycopus","LAMIACEAE"
1510350020,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MENTHA PULEGIUM","MENTHA","LAMIACEAE","Soil nutrients","very fertile","MENTHA PULEGIUM","MENTHA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MENTHA PULEGIUM","mentha","LAMIACEAE"
1510400210,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SALVIA PRATENSIS","SALVIA","LAMIACEAE","Soil nutrients","fertile","SALVIA PRATENSIS","SALVIA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALVIA PRATENSIS","salvia","LAMIACEAE"
1520020040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LYCIUM BARBARUM","lycium","SOLANACEAE"
1520030010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ATROPA BELLADONNA","ATROPA","SOLANACEAE","Soil nutrients","fertile","ATROPA BELLADONNA","ATROPA","SOLANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATROPA BELLADONNA","atropa","SOLANACEAE"
1520050010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","HYOSCYAMUS NIGER","HYOSCYAMUS","SOLANACEAE","Soil nutrients","very fertile","HYOSCYAMUS NIGER","HYOSCYAMUS","SOLANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HYOSCYAMUS NIGER","hyoscyamus","SOLANACEAE"
1520100010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SOLANUM NIGRUM","SOLANUM","SOLANACEAE","Soil nutrients","fertile","SOLANUM NIGRUM","SOLANUM","SOLANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLANUM NIGRUM","solanum","SOLANACEAE"
1520140010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","DATURA STRAMONIUM","DATURA","SOLANACEAE","Soil nutrients","infertile","DATURA STRAMONIUM","DATURA","SOLANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATURA STRAMONIUM","datura","SOLANACEAE"
1530010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very infertile","BUDDLEJA DAVIDII","BUDDLEJA","BUDDLEJACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUDDLEJA DAVIDII","buddleja","BUDDLEJACEAE"
1540040010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LIMOSELLA AQUATICA","LIMOSELLA","SCROPHULARIACEAE","Soil nutrients","very infertile","LIMOSELLA AQUATICA","LIMOSELLA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIMOSELLA AQUATICA","limosella","SCROPHULARIACEAE"
1540050010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MIMULUS GUTTATUS","MIMULUS","SCROPHULARIACEAE","Soil nutrients","very infertile","MIMULUS GUTTATUS","MIMULUS","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIMULUS GUTTATUS","mimulus","SCROPHULARIACEAE"
1540070720,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","VERBASCUM PULVERULENTUM","VERBASCUM","SCROPHULARIACEAE","Soil nutrients","fertile","VERBASCUM PULVERULENTUM","VERBASCUM","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERBASCUM PULVERULENTUM","verbascum","SCROPHULARIACEAE"
1540080200,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SCROPHULARIA UMBROSA","SCROPHULARIA","SCROPHULARIACEAE","Soil nutrients","very fertile","SCROPHULARIA UMBROSA","SCROPHULARIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCROPHULARIA UMBROSA","scrophularia","SCROPHULARIACEAE"
1540100170,"2C DNA content (pg)","3.2","ANTIRRHINUM MAJUS","ANTIRRHINUM","SCROPHULARIACEAE","Longevity of stems (yrs)","5.02","<1","ANTIRRHINUM MAJUS","ANTIRRHINUM","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTIRRHINUM MAJUS","antirrhinum","SCROPHULARIACEAE"
